Z75	शून्य सात पाँच
964177O	नौ छः चार एक सात सात शून्य
282	दो आठ दो
29O	दो नौ शून्य
1	एक
62793	छः दो सात नौ तीन
O6197O8	शून्य छः एक नौ सात शून्य आठ
172	एक सात दो
O22O6OO	शून्य दो दो शून्य छः शून्य शून्य
1473533	एक चार सात तीन पाँच तीन तीन
24Z52	दो चार शून्य पाँच दो
37O1641	तीन सात शून्य एक छः चार एक
4	चार
369O5	तीन छः नौ शून्य पाँच
5Z31ZZ4	पाँच शून्य तीन एक शून्य शून्य चार
5	पाँच
94OO	नौ चार शून्य शून्य
7513Z	सात पाँच एक तीन शून्य
59Z2	पाँच नौ शून्य दो
3	तीन
33O31	तीन तीन शून्य तीन एक
4	चार
6	छः
2	दो
6Z88	छः शून्य आठ आठ
81	आठ एक
71	सात एक
Z945	शून्य नौ चार पाँच
5	पाँच
4876	चार आठ सात छः
OO736	शून्य शून्य सात तीन छः
635	छः तीन पाँच
8O4	आठ शून्य चार
1911446	एक नौ एक एक चार चार छः
7932	सात नौ तीन दो
98	नौ आठ
889922Z	आठ आठ नौ नौ दो दो शून्य
O	शून्य
54	पाँच चार
47	चार सात
434	चार तीन चार
29	दो नौ
Z	शून्य
Z849768	शून्य आठ चार नौ सात छः आठ
83966	आठ तीन नौ छः छः
Z	शून्य
6	छः
26555	दो छः पाँच पाँच पाँच
4915	चार नौ एक पाँच
Z1	शून्य एक
7Z57	सात शून्य पाँच सात
8	आठ
7	सात
3	तीन
7	सात
O952O99	शून्य नौ पाँच दो शून्य नौ नौ
13	एक तीन
951	नौ पाँच एक
9	नौ
9	नौ
43	चार तीन
Z12	शून्य एक दो
8Z6983Z	आठ शून्य छः नौ आठ तीन शून्य
92587	नौ दो पाँच आठ सात
5821	पाँच आठ दो एक
6O46	छः शून्य चार छः
2	दो
8	आठ
O274	शून्य दो सात चार
O	शून्य
68	छः आठ
1O1	एक शून्य एक
5Z26Z	पाँच शून्य दो छः शून्य
72	सात दो
39Z	तीन नौ शून्य
32421	तीन दो चार दो एक
3528457	तीन पाँच दो आठ चार पाँच सात
1	एक
398349O	तीन नौ आठ तीन चार नौ शून्य
67O4	छः सात शून्य चार
8875	आठ आठ सात पाँच
95	नौ पाँच
4	चार
5	पाँच
824O958	आठ दो चार शून्य नौ पाँच आठ
